#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.96784     1.96784           0
           2     2.01236      1.9901   0.0157383
           3     1.95108     1.97709   0.0149292
           4     1.96084     1.97303   0.0117367
           5     1.96364     1.97115  0.00953849
           6     1.93033     1.96435   0.0100876
           7     1.95442     1.96293  0.00874565
           8     1.99618     1.96709  0.00858347
           9     1.96611     1.96698  0.00763044
          10     2.00832     1.97111  0.00790867
          11     2.01371     1.97499  0.00808243
          12     2.01329     1.97818  0.00801453
          13     1.99272      1.9793  0.00747573
          14      1.9894     1.98002  0.00697651
          15     1.98563     1.98039  0.00652144
          16      1.9531     1.97869  0.00633295
          17     1.95328     1.97719  0.00613418
          18     1.95455     1.97593  0.00592098
          19     1.94718     1.97442   0.0057996
          20     1.95738     1.97357  0.00557184
          21      1.9751     1.97364  0.00530699
          22     1.96627     1.97331  0.00507634
          23       1.981     1.97364  0.00486662
          24     1.98481     1.97411  0.00468603
          25     2.00908     1.97551  0.00470275
          26     2.06745     1.97904   0.0056984
          27     1.97388     1.97885  0.00549056
          28     1.97711     1.97879  0.00529482
          29     1.95731     1.97805  0.00516377
          30     2.00381     1.97891  0.00506254
          31     2.02336     1.98034  0.00509824
          32     2.00991     1.98126  0.00502198
          33     1.99967     1.98182  0.00490068
          34     2.02795     1.98318  0.00494073
          35     2.05935     1.98535  0.00525702
          36     2.06982      1.9877   0.0056102
          37     2.01519     1.98844  0.00550754
          38     2.01203     1.98906  0.00539745
          39     1.98306     1.98891  0.00526125
          40     1.96566     1.98833  0.00516174
          41     1.96574     1.98778  0.00506517
          42     1.94091     1.98666  0.00506599
          43     1.96809     1.98623  0.00496655
          44     1.99907     1.98652  0.00486224
          45     1.96262     1.98599  0.00478313
          46     1.98339     1.98593  0.00467948
          47     1.95299     1.98523  0.00463211
          48      1.9838      1.9852   0.0045357
          49     2.02092     1.98593  0.00450131
          50     2.00617     1.98634  0.00442945
