# BIN:     VELOCITY:     AVE_POFV:        ERROR:
# Block 1
   0.0771129  0.00132081  0.00132081           0
    0.231339   0.0322999   0.0322999           0
    0.385565    0.106055    0.106055           0
     0.53979    0.126528    0.126528           0
    0.694016    0.270347    0.270347           0
    0.848242    0.295292    0.295292           0
     1.00247    0.430796    0.430796           0
     1.15669     0.42086     0.42086           0
     1.31092    0.476844    0.476844           0
     1.46515    0.379674    0.379674           0
     1.61937    0.498938    0.498938           0
      1.7736    0.545436    0.545436           0
     1.92782    0.503501    0.503501           0
     2.08205    0.392522    0.392522           0
     2.23627    0.431186    0.431186           0
      2.3905    0.251735    0.251735           0
     2.54473    0.208268    0.208268           0
     2.69895    0.223428    0.223428           0
     2.85318    0.221026    0.221026           0
      3.0074    0.204186    0.204186           0
     3.16163    0.118723    0.118723           0
     3.31585    0.142648    0.142648           0
     3.47008   0.0613879   0.0613879           0
     3.62431   0.0369828   0.0369828           0
     3.77853   0.0268666   0.0268666           0
     3.93276   0.0223338   0.0223338           0
     4.08698   0.0191218   0.0191218           0
     4.24121   0.0233244   0.0233244           0
     4.39544   0.0103864   0.0103864           0
     4.54966  0.00198122  0.00198122           0


# Block 2
   0.0771129 0.000360222 0.000840518 0.000339621
    0.231339   0.0240748   0.0281874    0.002908
    0.385565    0.120614    0.113335  0.00514738
     0.53979    0.106085    0.116307  0.00722755
    0.694016    0.253326    0.261836  0.00601765
    0.848242     0.32501    0.310151    0.010507
     1.00247     0.40525    0.418023  0.00903179
     1.15669    0.394383    0.407621   0.0093608
     1.31092    0.359111    0.417978   0.0416248
     1.46515    0.333236    0.356455   0.0164185
     1.61937    0.540934    0.519936   0.0148478
      1.7736    0.601721    0.573579   0.0198997
     1.92782    0.427944    0.465722   0.0267133
     2.08205    0.346354    0.369438    0.016323
     2.23627    0.294692    0.362939    0.048258
      2.3905    0.475944    0.363839   0.0792696
     2.54473    0.382796    0.295532   0.0617048
     2.69895    0.248583    0.236006  0.00889382
     2.85318    0.206888    0.213957  0.00499879
      3.0074     0.29121    0.247698   0.0307675
     3.16163    0.110708    0.114716  0.00283371
     3.31585    0.042206    0.092427   0.0355116
     3.47008   0.0540033   0.0576956  0.00261083
     3.62431   0.0740557   0.0555192   0.0131072
     3.77853   0.0206227   0.0237446  0.00220753
     3.93276    0.009726   0.0160299  0.00445752
     4.08698   0.0319697   0.0255458  0.00454243
     4.24121  0.00219135   0.0127579  0.00747166
     4.39544           0   0.0051932  0.00367215
     4.54966           0 0.000990611 0.000700468


# Block 3
   0.0771129 0.000300185 0.000660407 0.000269981
    0.231339    0.021073   0.0258159  0.00274001
    0.385565   0.0709938   0.0992212   0.0120239
     0.53979     0.14646    0.126358  0.00951671
    0.694016    0.223428    0.249034   0.0111969
    0.848242    0.301746     0.30735  0.00736876
     1.00247    0.269686    0.368577   0.0408186
     1.15669    0.360012    0.391752   0.0143821
     1.31092     0.40564    0.413865   0.0279523
     1.46515    0.492724    0.401878   0.0386692
     1.61937    0.597128    0.545667   0.0232243
      1.7736    0.641856    0.596338   0.0228323
     1.92782    0.462825    0.464757   0.0178263
     2.08205    0.490773    0.409883   0.0347699
     2.23627    0.432267    0.386048   0.0372969
      2.3905     0.27506    0.334246   0.0581084
     2.54473    0.253777    0.281614   0.0426775
     2.69895    0.268906    0.246972   0.0107394
     2.85318    0.295802    0.241239   0.0225234
      3.0074    0.164171    0.219856   0.0306189
     3.16163    0.111519     0.11365  0.00207989
     3.31585   0.0695529   0.0848023   0.0244793
     3.47008   0.0303487     0.04858  0.00764368
     3.62431   0.0399847    0.050341  0.00970728
     3.77853  0.00543335   0.0176409  0.00519646
     3.93276    0.014649   0.0155696  0.00299535
     4.08698   0.0193319   0.0234745  0.00346852
     4.24121   0.0077748   0.0110968  0.00516243
     4.39544 0.000510315  0.00363224     0.00276
     4.54966 0.000270167 0.000750463 0.000506474


# Block 4
   0.0771129           0 0.000495305  0.00024788
    0.231339  0.00228141   0.0199323  0.00549417
    0.385565   0.0228741   0.0801344   0.0188295
     0.53979   0.0660707    0.111286   0.0148766
    0.694016    0.193529    0.235158   0.0146605
    0.848242    0.268305    0.297589   0.0100996
     1.00247    0.294632    0.350091   0.0345474
     1.15669    0.337588    0.378211   0.0159332
     1.31092    0.512086     0.43842   0.0298616
     1.46515    0.668092    0.468431   0.0645224
     1.61937    0.773937    0.602734   0.0524017
      1.7736    0.614719    0.600933   0.0175806
     1.92782    0.445024    0.459824   0.0140357
     2.08205    0.329063    0.389678    0.031404
     2.23627     0.38979    0.386984   0.0279844
      2.3905    0.369528    0.343067   0.0442457
     2.54473    0.288058    0.283225   0.0320385
     2.69895    0.261341    0.250565  0.00863448
     2.85318    0.209799    0.233379   0.0182124
      3.0074   0.0885846    0.187038   0.0365391
     3.16163   0.0645998    0.101388   0.0107336
     3.31585   0.0370729   0.0728699   0.0210679
     3.47008   0.0237446   0.0423711  0.00785982
     3.62431   0.0707236   0.0554367  0.00851347
     3.77853   0.0561346   0.0272643  0.00920039
     3.93276   0.0343712     0.02027  0.00464942
     4.08698   0.0385438   0.0272418  0.00417274
     4.24121   0.0171106   0.0126003  0.00408488
     4.39544  0.00516318  0.00401498  0.00209637
     4.54966  0.00123076 0.000870537 0.000393832


# Block 5
   0.0771129           0 0.000396244 0.000217198
    0.231339   0.0231443   0.0205747  0.00443273
    0.385565   0.0436169   0.0728309   0.0164191
     0.53979   0.0719544     0.10342   0.0138255
    0.694016     0.14655    0.217436   0.0197179
    0.848242    0.198182    0.277707   0.0195318
     1.00247    0.290159    0.338105   0.0296445
     1.15669    0.467959     0.39616   0.0204994
     1.31092     0.40567     0.43187   0.0245971
     1.46515     0.55177    0.485099   0.0537277
     1.61937       0.729    0.627987    0.047619
      1.7736    0.668602    0.614467   0.0185564
     1.92782    0.572693    0.482398   0.0231029
     2.08205    0.369468    0.385636    0.025382
     2.23627    0.393092    0.388205   0.0224142
      2.3905    0.312223    0.336898    0.035824
     2.54473    0.371269    0.300834   0.0300831
     2.69895    0.197522    0.239956   0.0117366
     2.85318    0.169755    0.220654   0.0184884
      3.0074    0.141447     0.17792   0.0303477
     3.16163    0.122145    0.105539   0.0093554
     3.31585    0.106055    0.079507   0.0178692
     3.47008    0.029118   0.0397205  0.00671996
     3.62431   0.0109868   0.0465467   0.0104696
     3.77853   0.0368027    0.029172   0.0075555
     3.93276   0.0116472   0.0185454  0.00402669
     4.08698   0.0106566   0.0239248  0.00446607
     4.24121 0.000150093   0.0101102  0.00395467
     4.39544  0.00021013  0.00325401  0.00180995
     4.54966   0.0182212  0.00434068  0.00311974


# Block 6
   0.0771129           0 0.000330204 0.000190774
    0.231339   0.0348815   0.0229592  0.00428757
    0.385565   0.0740257     0.07303   0.0136838
     0.53979   0.0565249    0.095604   0.0135516
    0.694016    0.139886    0.204511   0.0202289
    0.848242    0.249424    0.272993   0.0168358
     1.00247    0.286317    0.329473   0.0259299
     1.15669    0.498638     0.41324   0.0231282
     1.31092    0.376552    0.422651   0.0221582
     1.46515    0.684842     0.51839   0.0541126
     1.61937    0.577376    0.619552   0.0404227
      1.7736     0.53436    0.601116   0.0196894
     1.92782    0.521362    0.488892   0.0201445
