#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.370554   -0.370554           0
           2     -0.4151   -0.392827   0.0157495
           3   -0.353659   -0.379771   0.0149627
           4    -0.36353   -0.375711     0.01176
           5   -0.366359    -0.37384  0.00955561
           6   -0.333151   -0.367059   0.0100863
           7   -0.357134   -0.365641  0.00874451
           8   -0.399059   -0.369818  0.00859143
           9    -0.36902    -0.36973  0.00763728
          10   -0.411078   -0.373864  0.00791412
          11   -0.416549   -0.377745  0.00809024
          12   -0.416126   -0.380943  0.00802343
          13   -0.395491   -0.382062  0.00748388
          14   -0.392132   -0.382782  0.00698379
          15   -0.388339   -0.383152  0.00652803
          16   -0.355814   -0.381444  0.00633968
          17   -0.355998   -0.379947  0.00614092
          18   -0.357356   -0.378692  0.00592662
          19   -0.350069   -0.377185  0.00580299
          20   -0.360034   -0.376328  0.00557585
          21   -0.377937   -0.376404  0.00531086
          22   -0.368978   -0.376067  0.00508017
          23   -0.383739     -0.3764  0.00487023
          24   -0.387636   -0.376868  0.00468975
          25   -0.411997   -0.378274  0.00470797
          26   -0.470345   -0.381815   0.0057053
          27   -0.376736   -0.381627   0.0054971
          28   -0.379868   -0.381564  0.00530113
          29   -0.360026   -0.380821  0.00517009
          30   -0.406682   -0.381683  0.00506911
          31   -0.426042   -0.383114  0.00510356
          32   -0.412633   -0.384037  0.00502675
          33   -0.402503   -0.384596  0.00490547
          34   -0.431004   -0.385961  0.00494745
          35   -0.462198   -0.388139  0.00526379
          36    -0.47282   -0.390492  0.00561862
          37   -0.417966   -0.391234  0.00551562
          38   -0.414748   -0.391853  0.00540507
          39     -0.3858   -0.391698   0.0052687
          40   -0.368323   -0.391113  0.00516929
          41   -0.368503   -0.390562  0.00507254
          42   -0.343551   -0.389443  0.00507376
          43   -0.370893   -0.389011  0.00497407
          44   -0.401971   -0.389306  0.00486974
          45   -0.365426   -0.388775  0.00479035
          46   -0.386076   -0.388716  0.00468657
          47   -0.355786   -0.388016  0.00463893
          48   -0.386624   -0.387987  0.00454238
          49   -0.423869   -0.388719  0.00450832
          50   -0.408914   -0.389123  0.00443621
