#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3119      1.3119           0
           2     1.34157     1.32673   0.0104922
           3     1.30072     1.31806  0.00995282
           4     1.30723     1.31535  0.00782449
           5     1.30909      1.3141    0.006359
           6     1.28689     1.30957  0.00672507
           7     1.30295     1.30862  0.00583043
           8     1.33079     1.31139  0.00572231
           9     1.31074     1.31132  0.00508696
          10     1.33888     1.31408  0.00527245
          11     1.34247     1.31666  0.00538828
          12     1.34219     1.31878  0.00534302
          13     1.32848     1.31953  0.00498382
          14     1.32627     1.32001    0.004651
          15     1.32376     1.32026  0.00434763
          16     1.30207     1.31912  0.00422197
          17     1.30219     1.31813  0.00408945
          18     1.30303     1.31729  0.00394732
          19     1.29812     1.31628   0.0038664
          20     1.30492     1.31571  0.00371456
          21     1.31673     1.31576    0.003538
          22     1.31085     1.31554  0.00338422
          23     1.32066     1.31576  0.00324441
          24      1.3232     1.31607  0.00312402
          25     1.33939       1.317  0.00313517
          26      1.3783     1.31936  0.00379893
          27     1.31592     1.31923  0.00366037
          28     1.31808     1.31919  0.00352988
          29     1.30487      1.3187  0.00344251
          30     1.33587     1.31927  0.00337503
          31      1.3489     1.32023  0.00339883
          32     1.33994     1.32084  0.00334799
          33     1.33311     1.32121  0.00326712
          34     1.35196     1.32212  0.00329382
          35      1.3729     1.32357  0.00350468
          36     1.37988     1.32513  0.00374014
          37     1.34346     1.32563  0.00367169
          38     1.34135     1.32604   0.0035983
          39     1.32204     1.32594   0.0035075
          40     1.31044     1.32555  0.00344116
          41     1.31049     1.32519  0.00337678
          42     1.29394     1.32444  0.00337732
          43     1.31206     1.32415  0.00331103
          44     1.33272     1.32435  0.00324149
          45     1.30841     1.32399  0.00318875
          46     1.32226     1.32396  0.00311965
          47       1.302     1.32349  0.00308807
          48     1.32253     1.32347   0.0030238
          49     1.34728     1.32396  0.00300087
          50     1.33745     1.32423  0.00295297
