#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59729     1.59729           0
           2     1.59726     1.59727 1.11968e-05
           3     1.59742     1.59732  4.0362e-05
           4     1.59731     1.59732  3.0349e-05
           5     1.59728     1.59731 2.52833e-05
           6     1.59718     1.59729 2.92926e-05
           7     1.59729     1.59729  2.5112e-05
           8     1.59712     1.59727 2.93672e-05
           9     1.59709     1.59725 3.23412e-05
          10     1.59725     1.59725 2.91078e-05
          11     1.59716     1.59724 2.74938e-05
          12     1.59717     1.59723  2.5895e-05
          13     1.59723     1.59723 2.39035e-05
          14     1.59727     1.59724 2.23219e-05
          15     1.59729     1.59724 2.11677e-05
          16     1.59729     1.59724 2.00654e-05
          17     1.59729     1.59725 1.90453e-05
          18     1.59719     1.59724 1.82182e-05
          19     1.59711     1.59724 1.86261e-05
          20     1.59735     1.59724 1.85286e-05
          21     1.59716     1.59724 1.80025e-05
          22     1.59729     1.59724  1.7348e-05
          23     1.59726     1.59724 1.66084e-05
          24     1.59717     1.59724 1.61706e-05
          25     1.59708     1.59723 1.66992e-05
          26      1.5971     1.59723 1.67595e-05
          27     1.59714     1.59722  1.6451e-05
          28     1.59724     1.59722 1.58809e-05
          29     1.59729     1.59723 1.54755e-05
          30     1.59713     1.59722 1.53051e-05
          31     1.59731     1.59723 1.50862e-05
          32     1.59728     1.59723 1.47061e-05
          33     1.59717     1.59723 1.43699e-05
          34     1.59694     1.59722 1.62103e-05
          35     1.59715     1.59722   1.587e-05
          36       1.597     1.59721 1.65133e-05
          37     1.59722     1.59721 1.60701e-05
          38     1.59728     1.59721 1.57464e-05
          39     1.59726     1.59721 1.53994e-05
          40     1.59733     1.59722 1.53096e-05
          41     1.59723     1.59722 1.49415e-05
          42     1.59736     1.59722 1.49887e-05
          43      1.5972     1.59722 1.46485e-05
          44      1.5971     1.59722 1.45525e-05
          45     1.59719     1.59722 1.42425e-05
          46     1.59732     1.59722 1.41027e-05
          47     1.59721     1.59722 1.38048e-05
          48     1.59718     1.59722 1.35437e-05
          49     1.59705     1.59721 1.37079e-05
          50     1.59726     1.59721 1.34619e-05
