#   N_BLOCK:  ACCEPTANCE:
           1      0.5245
           2     0.52212
           3    0.523833
           4     0.52437
           5    0.524556
           6    0.524233
           7    0.524454
           8    0.523903
           9    0.524462
          10    0.524492
          11    0.524547
          12    0.524625
          13     0.52444
          14    0.524536
          15    0.524141
          16    0.523652
          17    0.523772
          18     0.52371
          19    0.523842
          20    0.523777
          21    0.523545
          22    0.523235
          23    0.523505
          24    0.523757
          25    0.523507
          26    0.523565
          27    0.523409
          28    0.523567
          29    0.523448
          30    0.523487
          31    0.523683
          32    0.523846
          33    0.523927
          34    0.524115
          35    0.524123
          36    0.524149
          37    0.524135
          38    0.523994
          39    0.523988
          40    0.524021
          41    0.524017
          42     0.52424
          43    0.524298
          44    0.524274
          45    0.524446
          46    0.524317
          47    0.524451
          48     0.52443
          49     0.52453
          50    0.524512
          51    0.524284
          52    0.524165
          53    0.524005
          54    0.523971
          55    0.524036
          56    0.523993
          57    0.524058
          58    0.524034
          59    0.523902
          60    0.523903
          61    0.524045
          62    0.524028
          63    0.524021
          64    0.524007
          65    0.523979
          66    0.523981
          67    0.523965
          68    0.523969
          69    0.523909
          70    0.523933
          71    0.523963
          72    0.524019
          73    0.524028
          74    0.523997
          75     0.52407
          76    0.524093
          77    0.524103
          78    0.524083
          79    0.523944
          80    0.523955
          81     0.52387
          82    0.523796
          83    0.523716
          84    0.523833
          85    0.523799
          86    0.523768
          87    0.523712
          88    0.523686
          89    0.523741
          90     0.52369
          91    0.523765
          92    0.523736
          93    0.523743
          94    0.523756
          95    0.523828
          96    0.523827
          97    0.523869
          98    0.523907
          99    0.523967
         100    0.523994
