#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01836     0.01836           0
           2     0.04136     0.02986  0.00813173
           3      0.0412     0.03364  0.00623815
           4     0.02588      0.0317  0.00497113
           5     0.03156    0.031672  0.00397698
           6     0.06168   0.0366733  0.00564163
           7      0.0662   0.0408914  0.00621566
           8     0.02512     0.03892  0.00574284
           9      0.0106   0.0357733  0.00590422
          10      0.0198    0.034176  0.00552564
          11     0.01836   0.0327382  0.00520702
          12     0.07268   0.0360667  0.00573917
          13     0.03484   0.0359723  0.00529847
          14     0.01312     0.03434  0.00516533
          15      0.0214   0.0334773  0.00489248
          16     0.04568     0.03424  0.00464576
          17     0.05732   0.0355976  0.00456655
          18     0.03984   0.0358333  0.00431893
          19     0.02108   0.0350568  0.00416084
          20      0.0452    0.035564  0.00398358
          21      0.0238   0.0350038  0.00383307
          22     0.05516     0.03592  0.00376675
          23     0.03268   0.0357791  0.00360561
          24      0.0046     0.03448  0.00368199
          25     0.01592   0.0337376  0.00360878
          26     0.05516   0.0345615   0.0035628
          27       0.039   0.0347259  0.00343463
          28     0.01596   0.0340557  0.00337672
          29     0.05596    0.034811  0.00334369
          30     0.03336   0.0347627  0.00323259
          31     0.01304   0.0340619  0.00320336
          32     0.03736    0.034165  0.00310491
          33     0.01864   0.0336945  0.00304626
          34      0.0438   0.0339918  0.00297112
          35     0.05052    0.034464  0.00292352
          36     0.00544   0.0336578  0.00295139
          37     0.04588   0.0339881  0.00289005
          38      0.0322   0.0339411  0.00281438
          39      0.0672   0.0347938  0.00286851
          40     0.04832    0.035132  0.00281666
          41     0.00968   0.0345112  0.00281554
          42     0.05588     0.03502  0.00279409
          43       0.029     0.03488  0.00273262
          44     0.02908   0.0347482  0.00267369
          45      0.0022   0.0340249  0.00271034
          46     0.05056   0.0343843  0.00267515
          47     0.01596   0.0339923   0.0026468
          48     0.04776   0.0342792  0.00260715
          49       0.023    0.034049  0.00256409
          50       0.022    0.033808   0.0025241
          51     0.04868   0.0340996   0.0024914
          52     0.00012   0.0334462  0.00252773
          53    -0.00652   0.0326921  0.00259008
          54     0.05344   0.0330763  0.00257045
          55    -0.00044   0.0324669  0.00259495
          56     0.03492   0.0325107  0.00254898
          57    -0.00456   0.0318604   0.0025859
          58     0.02296   0.0317069  0.00254586
          59     0.03344   0.0317363  0.00250288
          60     0.02348   0.0315987  0.00246495
          61     0.02116   0.0314275  0.00243047
          62     0.01992   0.0312419  0.00239835
          63      0.0306   0.0312317   0.0023603
          64     0.02948   0.0312044  0.00232358
          65     0.04092   0.0313538  0.00229263
          66     0.04812   0.0316079  0.00227193
          67     0.01976    0.031431  0.00224489
          68     0.04792   0.0316735  0.00222493
          69     0.02332   0.0315525  0.00219598
          70      0.0034   0.0311503  0.00220113
          71     0.02076   0.0310039  0.00217498
          72     0.04444   0.0311906  0.00215277
          73     0.01128   0.0309178  0.00214049
          74       0.038   0.0310135   0.0021137
          75     0.04176   0.0311568  0.00209037
          76     0.04876   0.0313884  0.00207565
          77     0.04632   0.0315823  0.00205774
          78     0.01036   0.0313103  0.00204926
          79      0.0316   0.0313139  0.00202333
          80     0.04244    0.031453  0.00200281
          81     0.04212   0.0315847  0.00198241
          82     0.00088   0.0312102  0.00199328
          83     0.02056   0.0310819  0.00197339
          84     0.03468   0.0311248  0.00195037
          85     0.04896   0.0313346  0.00193867
          86      0.0276   0.0312912  0.00191662
          87      0.0332   0.0313131  0.00189471
          88     0.05396   0.0315705  0.00189058
          89     0.03872   0.0316508  0.00187104
          90      0.0234   0.0315591   0.0018525
          91       0.044   0.0316958  0.00183718
          92     0.00924   0.0314517  0.00183335
          93     0.01564   0.0312817   0.0018215
          94     0.01356   0.0310932  0.00181186
          95     0.03448   0.0311288  0.00179314
          96     0.02924   0.0311092  0.00177457
          97     0.01488   0.0309419  0.00176414
          98     0.01072   0.0307355  0.00175817
          99     0.02216   0.0306489  0.00174254
         100      0.0446   0.0307884  0.00173069
