#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.203858    0.203858           0
           2     0.21834    0.211099  0.00511994
           3    0.200758    0.207652  0.00442407
           4    0.226289    0.212311   0.0052241
           5    0.195011    0.208851  0.00520034
           6    0.210192    0.209075  0.00433842
           7    0.192383     0.20669  0.00432457
           8    0.231342    0.209772  0.00475681
           9     0.21763    0.210645  0.00430766
          10    0.182899     0.20787  0.00468604
          11    0.219381    0.208917  0.00437532
          12    0.194883    0.207747  0.00416407
          13    0.184485    0.205958  0.00421071
          14    0.189265    0.204766  0.00407528
          15    0.204921    0.204776  0.00380361
          16    0.225672    0.206082  0.00378346
          17    0.204118    0.205966  0.00356267
          18    0.205106    0.205919  0.00336506
          19    0.206461    0.205947  0.00318808
          20    0.197284    0.205514  0.00305795
          21    0.193917    0.204962  0.00296178
          22    0.209207    0.205155  0.00283344
          23    0.220236     0.20581  0.00278508
          24    0.235089     0.20703  0.00292405
          25    0.221804    0.207621  0.00286618
          26    0.227186    0.208374  0.00285301
          27    0.206362    0.208299  0.00274831
          28    0.200603    0.208024  0.00266387
          29    0.222494    0.208523  0.00261832
          30    0.201209     0.20828  0.00254237
          31    0.199642    0.208001  0.00247558
          32    0.205555    0.207925   0.0023994
          33    0.201848     0.20774  0.00233374
          34    0.198909    0.207481  0.00227951
          35    0.212414    0.207622  0.00221874
          36    0.205054     0.20755  0.00215825
          37    0.199772     0.20734  0.00211013
          38    0.195535    0.207029  0.00207735
          39    0.195628    0.206737  0.00204455
          40    0.207889    0.206766  0.00199364
          41    0.208925    0.206819  0.00194571
          42     0.20626    0.206805  0.00189943
          43    0.193836    0.206504  0.00187905
          44    0.214889    0.206694  0.00184598
          45    0.238919     0.20741  0.00193889
          46    0.200063    0.207251  0.00190331
          47    0.213195    0.207377  0.00186701
          48    0.217419    0.207586   0.0018398
          49    0.210218     0.20764  0.00180304
          50    0.194299    0.207373  0.00178661
          51    0.202866    0.207285  0.00175376
          52    0.200539    0.207155  0.00172483
          53    0.216426     0.20733  0.00170113
          54    0.233139    0.207808  0.00173547
          55    0.194465    0.207565  0.00172079
          56    0.211177     0.20763  0.00169127
          57    0.191228    0.207342   0.0016859
          58      0.2092    0.207374  0.00165714
          59    0.203734    0.207312   0.0016302
          60    0.188968    0.207007  0.00163145
          61    0.219058    0.207204  0.00161662
          62    0.200187    0.207091   0.0015945
          63    0.195221    0.206903  0.00158028
          64    0.206164    0.206891  0.00155563
          65    0.215443    0.207023  0.00153725
          66    0.214405    0.207135  0.00151803
          67    0.206687    0.207128  0.00149538
          68    0.210905    0.207183  0.00147442
          69     0.21745    0.207332  0.00146054
          70    0.188818    0.207068  0.00146343
          71    0.208937    0.207094  0.00144306
          72    0.196761    0.206951  0.00143013
          73     0.21059       0.207  0.00141141
          74    0.221578    0.207197  0.00140602
          75    0.198342    0.207079  0.00139222
          76    0.200876    0.206998  0.00137629
          77    0.197738    0.206877  0.00136366
          78    0.203002    0.206828  0.00134708
          79    0.200067    0.206742  0.00133275
          80    0.195606    0.206603  0.00132334
          81     0.19892    0.206508   0.0013104
          82    0.205295    0.206493   0.0012945
          83    0.199385    0.206408  0.00128173
          84    0.209899    0.206449  0.00126715
          85     0.21573    0.206558  0.00125693
          86    0.196138    0.206437  0.00124815
          87     0.20689    0.206442  0.00123381
          88    0.193735    0.206298  0.00122821
          89     0.18815    0.206094  0.00123122
          90    0.195886    0.205981  0.00122275
          91    0.196933    0.205881  0.00121335
          92    0.201896    0.205838  0.00120094
          93     0.23349    0.206135  0.00122428
          94    0.207342    0.206148  0.00121132
          95    0.201591      0.2061  0.00119952
          96    0.208772    0.206128  0.00118735
          97    0.201468     0.20608  0.00117608
          98    0.186428    0.205879  0.00118105
          99    0.197959    0.205799  0.00117183
         100     0.19441    0.205686  0.00116563
