#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.42634     1.42634           0
           2     1.62962     1.52798   0.0718711
           3     1.43861     1.49819   0.0537349
           4     1.44094     1.48388   0.0421639
           5     1.37555     1.46221   0.0389012
           6     1.40849     1.45326   0.0334321
           7      1.6391     1.47981   0.0377532
           8     1.51877     1.48468   0.0333467
           9     1.50027     1.48641   0.0296865
          10      1.3008     1.46785   0.0319984
          11     1.53678     1.47411   0.0296968
          12     1.39024     1.46712   0.0280326
          13     1.47795     1.46796   0.0258886
          14     1.28172     1.45465   0.0272435
          15     1.39245     1.45051    0.025741
          16     1.55159     1.45683   0.0248953
          17     1.55688     1.46271   0.0241166
          18     1.43081     1.46094   0.0228418
          19     1.34051      1.4546   0.0225018
          20      1.4912     1.45643    0.021451
          21     1.42617     1.45499   0.0204779
          22     1.65288     1.46399   0.0214318
          23     1.33182     1.45824   0.0212564
          24     1.45514     1.45811   0.0203711
          25     1.32882     1.45294   0.0202021
          26     1.33247      1.4483   0.0199493
          27      1.4599     1.44873   0.0192151
          28     1.41099     1.44739    0.018576
          29     1.68661     1.45564    0.019682
          30     1.40299     1.45388   0.0191039
          31     1.36148      1.4509   0.0187188
          32     1.51762     1.45298   0.0182496
          33     1.38404      1.4509   0.0178157
          34     1.56533     1.45426   0.0176068
          35     1.37514       1.452   0.0172483
          36     1.41662     1.45102   0.0167972
          37     1.45161     1.45103   0.0163432
          38     1.36578     1.44879   0.0160663
          39     1.45846     1.44904   0.0156563
          40     1.52533     1.45095   0.0153806
          41     1.48833     1.45186   0.0150325
          42     1.49625     1.45291   0.0147117
          43     1.37604     1.45113   0.0144778
          44     1.51184     1.45251   0.0142143
          45     1.37621     1.45081   0.0139992
          46     1.57112     1.45343    0.013937
          47     1.29366     1.45003   0.0140489
          48     1.36418     1.44824   0.0138696
          49     1.46228     1.44852   0.0135895
          50     1.26498     1.44485   0.0138046
          51      1.5257     1.44644   0.0136246
          52     1.48213     1.44713   0.0133799
          53     1.62818     1.45054   0.0135566
          54     1.43737      1.4503   0.0133077
          55     1.39352     1.44927   0.0131057
          56      1.5353      1.4508   0.0129614
          57     1.52279     1.45207   0.0127954
          58     1.44345     1.45192   0.0125757
          59     1.48398     1.45246   0.0123743
          60     1.35364     1.45081   0.0122772
          61     1.26396     1.44775   0.0124522
          62     1.29165     1.44523   0.0125033
          63     1.34683     1.44367    0.012402
          64     1.32287     1.44178    0.012351
          65     1.58954     1.44406   0.0123684
          66     1.52997     1.44536   0.0122493
          67      1.6439     1.44832   0.0124197
          68     1.33473     1.44665   0.0123489
          69     1.48131     1.44715   0.0121802
          70     1.54753     1.44859   0.0120903
          71     1.45563     1.44869   0.0119204
          72     1.31795     1.44687   0.0118923
          73     1.52574     1.44795   0.0117784
          74     1.50868     1.44877   0.0116478
          75     1.52755     1.44982   0.0115397
          76     1.37022     1.44877   0.0114353
          77     1.50507     1.44951   0.0113102
          78     1.56821     1.45103   0.0112671
          79     1.32898     1.44948   0.0112299
          80     1.45383     1.44954   0.0110896
          81      1.3296     1.44806   0.0110511
          82     1.30207     1.44628   0.0110588
          83     1.40816     1.44582   0.0109351
          84     1.37899     1.44502   0.0108338
          85     1.45789     1.44517   0.0107074
          86     1.48513     1.44564    0.010593
          87     1.48439     1.44608   0.0104806
          88     1.39762     1.44553    0.010376
          89     1.36968     1.44468   0.0102943
          90     1.49502     1.44524   0.0101951
          91     1.43024     1.44507   0.0100844
          92     1.55499     1.44627   0.0100453
          93     1.48952     1.44673  0.00994808
          94     1.47335     1.44702  0.00984628
          95     1.34219     1.44591  0.00980427
          96     1.44775     1.44593  0.00970216
          97     1.41637     1.44563  0.00960692
          98     1.25342     1.44367  0.00970704
          99     1.45961     1.44383  0.00961033
         100      1.4352     1.44374  0.00951461
