#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.473167   -0.473167           0
           2   -0.475307   -0.474237 0.000756604
           3   -0.469944   -0.472806  0.00127268
           4   -0.468918   -0.471834  0.00127274
           5   -0.476551   -0.472777  0.00132242
           6   -0.473474   -0.472893  0.00110709
           7   -0.470924   -0.472612 0.000984038
           8   -0.471622   -0.472488 0.000868775
           9   -0.463332   -0.471471  0.00123143
          10   -0.472796   -0.471604  0.00111539
          11   -0.468207   -0.471295  0.00105586
          12   -0.474014   -0.471521 0.000991883
          13   -0.471737   -0.471538 0.000915723
          14   -0.469622   -0.471401 0.000860475
          15   -0.476108   -0.471715 0.000858422
          16   -0.484354   -0.472505  0.00111024
          17   -0.472586    -0.47251  0.00104494
          18   -0.472637   -0.472517 0.000986913
          19   -0.473622   -0.472575 0.000936682
          20   -0.470984   -0.472495 0.000893219
          21   -0.472716   -0.472506 0.000850746
          22   -0.478623   -0.472784 0.000856313
          23   -0.462014   -0.472316 0.000938425
          24   -0.466572   -0.472076 0.000929338
          25   -0.477438   -0.472291 0.000916581
          26   -0.470463    -0.47222 0.000884019
          27     -0.4751   -0.472327 0.000857687
          28   -0.467999   -0.472173 0.000840867
          29   -0.474559   -0.472255 0.000815889
          30   -0.471707   -0.472237 0.000788897
          31   -0.464581    -0.47199 0.000801172
          32   -0.468587   -0.471883 0.000783159
          33   -0.474533   -0.471964 0.000763531
          34   -0.465836   -0.471783 0.000762048
          35    -0.47349   -0.471832 0.000741834
          36   -0.468029   -0.471726 0.000728712
          37   -0.474758   -0.471808 0.000713607
          38   -0.473924   -0.471864 0.000696996
          39   -0.471264   -0.471849 0.000679294
          40   -0.474166   -0.471907 0.000664778
          41   -0.478194    -0.47206 0.000666014
          42   -0.471198   -0.472039 0.000650473
          43    -0.46346    -0.47184 0.000665243
          44   -0.471942   -0.471842 0.000650128
          45   -0.464444   -0.471678 0.000656139
          46   -0.478371   -0.471823 0.000657811
          47   -0.468719   -0.471757 0.000647122
          48   -0.472955   -0.471782 0.000634122
          49    -0.46374   -0.471618 0.000642069
          50      -0.467   -0.471526 0.000635836
          51   -0.487294   -0.471835  0.00069448
          52   -0.476482   -0.471924 0.000686852
          53    -0.47459   -0.471975 0.000675731
          54   -0.476909   -0.472066 0.000669367
          55   -0.468231   -0.471996 0.000660818
          56   -0.468938   -0.471942 0.000651269
          57   -0.464229   -0.471806 0.000653749
          58   -0.475819   -0.471876 0.000646129
          59   -0.477629   -0.471973 0.000642493
          60    -0.47391   -0.472005 0.000632595
          61   -0.464183   -0.471877 0.000635089
          62   -0.479038   -0.471993 0.000635262
          63   -0.464932   -0.471881 0.000634988
          64    -0.46835   -0.471825 0.000627458
          65   -0.477138   -0.471907 0.000623106
          66   -0.475362   -0.471959 0.000615861
          67   -0.474075   -0.471991 0.000607478
          68   -0.474478   -0.472028 0.000599645
          69   -0.474546   -0.472064 0.000592064
          70   -0.477748   -0.472145 0.000589148
          71   -0.468575   -0.472095 0.000582992
          72   -0.466649   -0.472019 0.000579781
          73   -0.470866   -0.472004 0.000572054
          74    -0.47668   -0.472067 0.000567804
          75   -0.469635   -0.472034 0.000561158
          76   -0.470175    -0.47201 0.000554307
          77   -0.470206   -0.471986 0.000547603
          78   -0.474927   -0.472024 0.000541879
          79   -0.481512   -0.472144 0.000548167
          80   -0.472049   -0.472143 0.000541316
          81   -0.476362   -0.472195 0.000537134
          82   -0.482738   -0.472324 0.000545753
          83   -0.484971   -0.472476 0.000560047
          84   -0.462454   -0.472357 0.000565947
          85   -0.477859   -0.472422 0.000562978
          86   -0.476312   -0.472467 0.000558247
          87   -0.476904   -0.472518 0.000554155
          88   -0.473079   -0.472524 0.000547895
          89   -0.474214   -0.472543 0.000542068
          90   -0.478148   -0.472605  0.00053961
          91     -0.4684   -0.472559 0.000535656
          92   -0.472185   -0.472555 0.000529849
          93   -0.471593   -0.472545 0.000524252
          94   -0.475551   -0.472577  0.00051965
          95    -0.46845   -0.472533 0.000515993
          96   -0.474425   -0.472553 0.000510994
          97   -0.467658   -0.472503 0.000508212
          98   -0.470934   -0.472487 0.000503278
          99   -0.469403   -0.472455 0.000499157
         100   -0.469132   -0.472422 0.000495271
