#   N_BLOCK:  ACCEPTANCE:
           1    0.510757
           2    0.510481
           3    0.510033
           4    0.510231
           5    0.510578
           6     0.51035
           7    0.510372
           8    0.510103
           9    0.510106
          10     0.50998
          11    0.509924
          12    0.509983
          13    0.509948
          14    0.509993
          15    0.510047
          16    0.510083
          17    0.510099
          18     0.51012
          19    0.510173
          20    0.510111
          21    0.510069
          22    0.510022
          23    0.510045
          24    0.510147
          25    0.510121
          26    0.510143
          27     0.51013
          28    0.510093
          29    0.510095
          30     0.51009
