# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00119217           0
    0.936212   0.0243726           0
    0.961861    0.165157           0
    0.987511    0.564826           0
     1.01316      1.2085           0
     1.03881     1.86229           0
     1.06446     2.33665           0
     1.09011     2.54316           0
     1.11576     2.55146           0
     1.14141     2.40658           0
     1.16706     2.19154           0
     1.19271     1.97193           0
     1.21836     1.76432           0
     1.24401     1.56747           0
     1.26966     1.39044           0
     1.29531     1.25279           0
     1.32096      1.1222           0
     1.34661     1.02965           0
     1.37226    0.947151           0
     1.39791    0.874763           0
     1.42355    0.821818           0
      1.4492    0.771095           0
     1.47485    0.735363           0
      1.5005    0.711963           0
     1.52615    0.687148           0
      1.5518    0.668149           0
     1.57745    0.670568           0
      1.6031    0.669429           0
     1.62875    0.666846           0
      1.6544    0.682295           0
     1.68005    0.698797           0
      1.7057    0.719823           0
     1.73135    0.753753           0
       1.757    0.784412           0
     1.78265    0.823121           0
      1.8083    0.856603           0
     1.83395    0.899214           0
      1.8596    0.946502           0
     1.88525    0.977782           0
      1.9109     1.01693           0
     1.93655     1.06353           0
      1.9622     1.09647           0
     1.98785      1.1299           0
      2.0135     1.15992           0
     2.03915     1.18023           0
      2.0648     1.19801           0
     2.09045     1.20292           0
      2.1161     1.20509           0
     2.14174     1.20203           0
     2.16739     1.19212           0
     2.19304     1.17256           0
     2.21869     1.14946           0
     2.24434      1.1244           0
     2.26999     1.09478           0
     2.29564     1.06638           0
     2.32129     1.04358           0
     2.34694     1.01559           0
     2.37259    0.993502           0
     2.39824    0.974533           0
     2.42389    0.952231           0
     2.44954    0.940465           0
     2.47519    0.925229           0
     2.50084    0.910071           0
     2.52649    0.894528           0
     2.55214    0.889949           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913           0           0
    0.910562  0.00112797 4.53918e-05
    0.936212   0.0245371 0.000116363
    0.961861    0.168574  0.00241585
    0.987511     0.57088  0.00428109
     1.01316     1.21103  0.00178606
     1.03881     1.86463   0.0016572
     1.06446     2.33733 0.000479972
     1.09011      2.5391  0.00287269
     1.11576     2.54261  0.00626019
     1.14141     2.40332  0.00230869
     1.16706     2.18524  0.00445508
     1.19271     1.97149 0.000309446
     1.21836      1.7543  0.00708574
     1.24401     1.56153  0.00419748
     1.26966     1.39464   0.0029696
     1.29531     1.24934  0.00244132
     1.32096     1.12702  0.00340489
     1.34661     1.02414  0.00389673
     1.37226    0.945452  0.00120136
     1.39791    0.875156 0.000277757
     1.42355    0.819073  0.00194117
      1.4492    0.772651  0.00110006
     1.47485    0.736341 0.000691521
      1.5005    0.712217 0.000179759
     1.52615    0.689713  0.00181335
      1.5518    0.673779  0.00398111
     1.57745     0.67055 1.26526e-05
      1.6031    0.668823 0.000428556
     1.62875    0.672547  0.00403096
      1.6544    0.683529 0.000872883
     1.68005    0.699721 0.000653074
      1.7057    0.723454  0.00256732
     1.73135    0.755599  0.00130556
       1.757     0.78382 0.000418436
     1.78265    0.817668  0.00385582
      1.8083    0.854904  0.00120168
     1.83395    0.893882   0.0037706
      1.8596    0.941241  0.00372022
     1.88525    0.977381 0.000283414
      1.9109     1.02187  0.00349195
     1.93655     1.06267 0.000603557
      1.9622     1.09745 0.000697356
     1.98785      1.1342  0.00304011
      2.0135     1.16029 0.000267302
     2.03915     1.18329  0.00216319
      2.0648     1.19902 0.000713215
     2.09045     1.20627  0.00236911
      2.1161     1.20503 4.53202e-05
     2.14174     1.20364  0.00114086
     2.16739     1.19037  0.00123658
     2.19304     1.17296 0.000279981
     2.21869     1.14955 6.75757e-05
     2.24434     1.12321 0.000846942
     2.26999     1.09644  0.00117652
     2.29564     1.06419  0.00155118
     2.32129     1.03882  0.00336489
     2.34694     1.01292  0.00188956
     2.37259    0.989961  0.00250398
     2.39824    0.971154  0.00238969
     2.42389    0.951034 0.000846718
     2.44954    0.935926  0.00320926
     2.47519     0.92278  0.00173158
     2.50084    0.911821  0.00123751
     2.52649    0.896033  0.00106448
     2.55214    0.890743 0.000561663
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  6.4841e-06 5.29424e-06
    0.910562  0.00130221 0.000145449
    0.936212   0.0251867  0.00053603
    0.961861    0.168658  0.00161205
    0.987511    0.568811  0.00331691
     1.01316     1.21344  0.00230203
     1.03881     1.86525  0.00121616
     1.06446     2.33794 0.000593528
     1.09011     2.54521  0.00534517
     1.11576     2.54319  0.00420044
     1.14141     2.40386  0.00160241
     1.16706     2.18591  0.00302011
     1.19271     1.97171 0.000271502
     1.21836     1.75371  0.00474838
     1.24401     1.56018  0.00300849
     1.26966     1.38898  0.00502977
     1.29531     1.24951  0.00163351
     1.32096     1.12735  0.00228555
     1.34661     1.02459   0.0026232
     1.37226     0.94298   0.0021719
     1.39791    0.875668 0.000457447
     1.42355    0.817786  0.00166727
      1.4492     0.77299 0.000783872
     1.47485    0.737071 0.000753189
      1.5005    0.710442  0.00145433
     1.52615    0.688422  0.00160378
      1.5518    0.676505  0.00346365
     1.57745    0.671289 0.000603935
      1.6031    0.667979  0.00074649
     1.62875    0.672843  0.00269817
      1.6544    0.682687 0.000901216
     1.68005     0.70171  0.00168125
      1.7057    0.725026  0.00213913
     1.73135    0.753276  0.00208731
       1.757    0.782611  0.00102649
     1.78265    0.819637  0.00303216
      1.8083    0.856195  0.00132407
     1.83395    0.893798  0.00251466
      1.8596    0.941161    0.002481
     1.88525    0.979201  0.00149791
      1.9109     1.02328  0.00259527
     1.93655      1.0624 0.000460396
      1.9622     1.09828 0.000822998
     1.98785     1.13369  0.00207018
      2.0135     1.15987 0.000385898
     2.03915     1.18284  0.00148712
      2.0648     1.19982 0.000812647
     2.09045     1.20638   0.0015822
      2.1161     1.20587 0.000687232
     2.14174     1.20359 0.000761679
     2.16739     1.19077 0.000886808
     2.19304     1.17177 0.000986047
     2.21869     1.14838 0.000957736
     2.24434     1.12241 0.000861584
     2.26999     1.09647 0.000784655
     2.29564     1.06389   0.0010631
     2.32129     1.03914  0.00225849
     2.34694     1.01347  0.00133772
     2.37259    0.990249  0.00168577
     2.39824    0.970145  0.00179359
     2.42389    0.948724  0.00196842
     2.44954     0.93566  0.00215051
     2.47519    0.921983  0.00132554
     2.50084    0.911423 0.000886749
     2.52649    0.896462 0.000791419
     2.55214    0.889415  0.00114741
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.86307e-06 4.21154e-06
    0.910562  0.00125178 0.000117507
    0.936212   0.0253036 0.000414579
    0.961861    0.167336  0.00166499
    0.987511    0.566375  0.00326176
     1.01316     1.20664  0.00613539
     1.03881     1.85926  0.00527177
     1.06446     2.33458  0.00294709
     1.09011     2.54584  0.00404603
     1.11576     2.54458  0.00337277
     1.14141     2.40591  0.00213957
     1.16706     2.19048  0.00455909
     1.19271     1.97622  0.00391167
     1.21836     1.75666  0.00438323
     1.24401     1.56377  0.00384021
     1.26966     1.38957  0.00380769
     1.29531     1.25059  0.00154424
     1.32096     1.13018   0.0029923
     1.34661      1.0247   0.0019697
     1.37226    0.943466  0.00168252
     1.39791    0.875865 0.000383178
     1.42355    0.817217  0.00134385
      1.4492    0.771853  0.00114635
     1.47485    0.736312 0.000866398
      1.5005    0.710875  0.00115342
     1.52615    0.686841  0.00182283
      1.5518    0.677336  0.00269557
     1.57745    0.672169 0.000886368
      1.6031    0.667605 0.000646487
     1.62875    0.671954  0.00216502
      1.6544    0.682474 0.000700622
     1.68005    0.701365  0.00129586
      1.7057     0.72367  0.00198784
     1.73135    0.751967  0.00193265
       1.757    0.779041  0.00318588
     1.78265    0.817376  0.00300129
      1.8083    0.855029   0.0014161
     1.83395    0.891405  0.00280197
      1.8596    0.938596  0.00289757
     1.88525    0.977544  0.00182237
      1.9109     1.02142  0.00252466
     1.93655     1.06148 0.000863482
      1.9622     1.09809 0.000639068
     1.98785     1.13327  0.00159424
      2.0135     1.16164   0.0015557
     2.03915     1.18389  0.00143735
      2.0648     1.20179  0.00181313
     2.09045     1.20993  0.00328959
      2.1161     1.20861   0.0024304
     2.14174      1.2068   0.0028378
     2.16739     1.19223  0.00142541
     2.19304      1.1736  0.00174364
     2.21869     1.14954  0.00123374
     2.24434     1.12596  0.00314279
     2.26999      1.0982   0.0016092
     2.29564     1.06679  0.00264005
     2.32129     1.04004   0.0018652
     2.34694      1.0145  0.00134288
     2.37259    0.992387  0.00224208
     2.39824    0.969451  0.00147336
     2.42389    0.948464  0.00149332
     2.44954    0.933136  0.00271688
     2.47519    0.919424  0.00242825
     2.50084    0.909773  0.00157542
     2.52649    0.894649  0.00167836
     2.55214    0.887632  0.00176779
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
