#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46603    -5.46603           0
           2    -5.45141    -5.45872  0.00517079
           3    -5.45742    -5.45829  0.00346521
           4     -5.4729    -5.46194   0.0040943
           5    -5.48528    -5.46661  0.00530693
           6    -5.46693    -5.46666  0.00442271
           7    -5.46381    -5.46626  0.00380969
           8    -5.44522    -5.46363  0.00414305
           9    -5.47054    -5.46439  0.00375326
          10     -5.4642    -5.46438  0.00337799
          11    -5.45939    -5.46392  0.00310116
          12    -5.46169    -5.46374  0.00284828
          13     -5.4653    -5.46386  0.00263173
          14    -5.47344    -5.46454  0.00253113
          15    -5.45446    -5.46387  0.00244999
          16    -5.46602      -5.464  0.00230054
          17    -5.46327    -5.46396  0.00216562
          18    -5.46228    -5.46387  0.00204733
          19    -5.46166    -5.46375  0.00194287
          20    -5.45979    -5.46355  0.00185576
          21    -5.46247     -5.4635  0.00176811
          22    -5.45311    -5.46303   0.0017497
          23    -5.46766    -5.46323  0.00168518
          24    -5.47167    -5.46358  0.00165126
          25    -5.44948    -5.46302   0.0016788
          26    -5.46976    -5.46328  0.00163416
          27    -5.46512    -5.46335  0.00157507
          28    -5.45674    -5.46311  0.00153639
          29    -5.46481    -5.46317  0.00148453
          30    -5.46138    -5.46311  0.00143623
