#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.39789     1.39789           0
           2     1.43748     1.41768   0.0139997
           3     1.43465     1.42334   0.0104128
           4       1.348     1.40451    0.018084
           5     1.29301     1.38221   0.0246396
           6     1.37954     1.38176    0.020537
           7     1.38487     1.38221    0.017608
           8     1.49597     1.39643   0.0203547
           9     1.35073     1.39135   0.0187156
          10     1.41686      1.3939   0.0170171
          11     1.44211     1.39828   0.0160246
          12     1.40182     1.39858    0.014692
          13     1.40255     1.39888    0.013565
          14     1.35291      1.3956   0.0129875
          15     1.42845     1.39779   0.0123049
          16     1.38679      1.3971   0.0115551
          17     1.40369     1.39749   0.0108819
          18     1.38977     1.39706   0.0102858
          19     1.39766     1.39709  0.00974444
          20     1.41952     1.39821   0.0093215
          21     1.39353     1.39799  0.00888028
          22     1.46867      1.4012  0.00903904
          23     1.37474     1.40005  0.00871893
          24     1.34448     1.39774  0.00865764
          25     1.46453     1.40041  0.00871387
          26     1.39303     1.40013  0.00838334
          27     1.42183     1.40093   0.0081113
          28     1.45139     1.40273  0.00801934
          29     1.40399     1.40278  0.00774293
          30     1.39858     1.40264   0.0074861
