#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81603    -3.81603           0
           2    -3.80141    -3.80872  0.00517079
           3    -3.80742    -3.80829  0.00346521
           4     -3.8229    -3.81194   0.0040943
           5    -3.83528    -3.81661  0.00530693
           6    -3.81693    -3.81666  0.00442271
           7    -3.81381    -3.81626  0.00380969
           8    -3.79522    -3.81363  0.00414305
           9    -3.82054    -3.81439  0.00375326
          10     -3.8142    -3.81438  0.00337799
          11    -3.80939    -3.81392  0.00310116
          12    -3.81169    -3.81374  0.00284828
          13     -3.8153    -3.81386  0.00263173
          14    -3.82344    -3.81454  0.00253113
          15    -3.80446    -3.81387  0.00244999
          16    -3.81602      -3.814  0.00230054
          17    -3.81327    -3.81396  0.00216562
          18    -3.81228    -3.81387  0.00204733
          19    -3.81166    -3.81375  0.00194287
          20    -3.80979    -3.81355  0.00185576
          21    -3.81247     -3.8135  0.00176811
          22    -3.80311    -3.81303   0.0017497
          23    -3.81766    -3.81323  0.00168518
          24    -3.82167    -3.81358  0.00165126
          25    -3.79948    -3.81302   0.0016788
          26    -3.81976    -3.81328  0.00163416
          27    -3.81512    -3.81335  0.00157507
          28    -3.80674    -3.81311  0.00153639
          29    -3.81481    -3.81317  0.00148453
          30    -3.81138    -3.81311  0.00143623
