# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000136166           0
    0.910562 0.000917052           0
    0.936212   0.0303488           0
    0.961861    0.180052           0
    0.987511     0.58389           0
     1.01316     1.20994           0
     1.03881      1.8794           0
     1.06446     2.36268           0
     1.09011     2.55657           0
     1.11576     2.54061           0
     1.14141     2.38223           0
     1.16706     2.17603           0
     1.19271     1.97748           0
     1.21836     1.74411           0
     1.24401     1.56538           0
     1.26966     1.42787           0
     1.29531     1.26626           0
     1.32096     1.13452           0
     1.34661     1.01127           0
     1.37226    0.926605           0
     1.39791    0.871224           0
     1.42355     0.80714           0
      1.4492    0.766665           0
     1.47485    0.714956           0
      1.5005    0.695099           0
     1.52615    0.675966           0
      1.5518    0.647207           0
     1.57745    0.635729           0
      1.6031    0.656846           0
     1.62875    0.671468           0
      1.6544    0.705923           0
     1.68005    0.726206           0
      1.7057    0.734626           0
     1.73135    0.748885           0
       1.757    0.780129           0
     1.78265    0.816458           0
      1.8083    0.860368           0
     1.83395    0.886173           0
      1.8596    0.932205           0
     1.88525    0.969201           0
      1.9109     1.02064           0
     1.93655     1.06298           0
      1.9622     1.12275           0
     1.98785     1.17504           0
      2.0135     1.18971           0
     2.03915     1.21303           0
      2.0648     1.21932           0
     2.09045     1.20976           0
      2.1161       1.228           0
     2.14174     1.20505           0
     2.16739     1.18799           0
     2.19304     1.16477           0
     2.21869      1.1232           0
     2.24434     1.11793           0
     2.26999     1.09702           0
     2.29564     1.05508           0
     2.32129     1.02842           0
     2.34694     1.00858           0
     2.37259    0.975536           0
     2.39824    0.965072           0
     2.42389    0.925927           0
     2.44954    0.922276           0
     2.47519    0.900011           0
     2.50084    0.899357           0
     2.52649    0.894077           0
     2.55214    0.887935           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  6.8083e-05  4.8142e-05
    0.910562 0.000651107 0.000188052
    0.936212   0.0250481  0.00374812
    0.961861    0.178004  0.00144835
    0.987511    0.583276 0.000433597
     1.01316     1.23154   0.0152726
     1.03881     1.89459   0.0107396
     1.06446     2.36344 0.000536439
     1.09011     2.54601   0.0074663
     1.11576     2.53349  0.00503379
     1.14141     2.39236  0.00716674
     1.16706     2.17621 0.000128624
     1.19271     1.99327   0.0111699
     1.21836     1.74843  0.00305562
     1.24401     1.55654  0.00625346
     1.26966     1.39157   0.0256698
     1.29531     1.24021   0.0184217
     1.32096     1.12122  0.00940355
     1.34661     1.02707   0.0111722
     1.37226    0.943088   0.0116552
     1.39791    0.877574  0.00448995
     1.42355    0.811495  0.00307936
      1.4492    0.781347   0.0103816
     1.47485    0.719076  0.00291358
      1.5005    0.689324  0.00408311
     1.52615    0.680211  0.00300195
      1.5518    0.653217  0.00424928
     1.57745    0.646397  0.00754303
      1.6031    0.665299  0.00597733
     1.62875    0.686318   0.0105003
      1.6544    0.693129  0.00904659
     1.68005    0.717776  0.00596115
      1.7057    0.723314  0.00799882
     1.73135    0.744682  0.00297242
       1.757    0.788859   0.0061732
     1.78265     0.82828  0.00835975
      1.8083    0.870373  0.00707424
     1.83395    0.901254   0.0106642
      1.8596    0.932399 0.000137395
     1.88525    0.977568  0.00591646
      1.9109     1.01968 0.000680101
     1.93655     1.06168 0.000919242
      1.9622     1.10989  0.00909542
     1.98785     1.14754   0.0194501
      2.0135     1.17463   0.0106625
     2.03915       1.193   0.0141603
      2.0648      1.2102   0.0064458
     2.09045     1.20514  0.00326839
      2.1161     1.22728 0.000506656
     2.14174     1.20312  0.00136427
     2.16739     1.18704  0.00067309
     2.19304     1.16587 0.000780488
     2.21869     1.14168   0.0130622
     2.24434     1.12825  0.00730371
     2.26999     1.09547  0.00109788
     2.29564     1.05996  0.00345122
     2.32129     1.02792 0.000351714
     2.34694     1.01333  0.00335691
     2.37259    0.986495   0.0077498
     2.39824    0.968893  0.00270182
     2.42389    0.928288   0.0016696
     2.44954    0.925143  0.00202686
     2.47519    0.904326    0.003051
     2.50084    0.899474 8.28875e-05
     2.52649    0.892348  0.00122281
     2.55214    0.885729  0.00156009
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 4.53887e-05 3.70597e-05
    0.910562  0.00100264 0.000313213
    0.936212   0.0237952  0.00270007
    0.961861    0.173126  0.00409796
    0.987511    0.587253  0.00325983
     1.01316     1.23164   0.0101821
     1.03881     1.89422  0.00716616
     1.06446     2.36399 0.000571326
     1.09011     2.53364   0.0112611
     1.11576     2.52962  0.00461031
     1.14141     2.39135   0.0048484
     1.16706     2.18654  0.00843922
     1.19271     1.98537  0.00985468
     1.21836     1.75198  0.00354768
     1.24401     1.55202  0.00556708
     1.26966     1.39561    0.017429
     1.29531     1.23445   0.0131496
     1.32096     1.11252  0.00947874
     1.34661     1.02291  0.00818542
     1.37226    0.952363   0.0108502
     1.39791    0.875683  0.00336779
     1.42355    0.817565  0.00536439
      1.4492    0.776025  0.00817194
     1.47485    0.726443  0.00632066
      1.5005    0.694806  0.00523851
     1.52615    0.686602   0.0055888
      1.5518    0.660188  0.00635808
     1.57745    0.652809  0.00725973
      1.6031    0.665789  0.00400489
     1.62875    0.680429  0.00849241
      1.6544     0.68291   0.0102949
     1.68005    0.711938  0.00620605
      1.7057    0.722911  0.00534273
     1.73135     0.74385  0.00209478
       1.757    0.784372  0.00550965
     1.78265    0.826528  0.00575393
      1.8083     0.86989  0.00473261
     1.83395     0.90458  0.00761044
      1.8596    0.936592  0.00342469
     1.88525     0.97794  0.00395597
      1.9109     1.02477  0.00418219
     1.93655     1.06015  0.00139202
      1.9622      1.1061  0.00680561
     1.98785     1.14068   0.0141239
      2.0135     1.17188  0.00745567
     2.03915     1.19587  0.00972723
      2.0648     1.21042  0.00430087
     2.09045     1.20464  0.00221748
      2.1161     1.22185  0.00444713
     2.14174     1.20651  0.00291593
     2.16739     1.19263  0.00459069
     2.19304     1.16516 0.000779823
     2.21869     1.13534   0.0101284
     2.24434     1.12043  0.00803271
     2.26999      1.0956 0.000740461
     2.29564     1.05905  0.00241865
     2.32129     1.02886 0.000802395
     2.34694     1.01336  0.00223812
     2.37259    0.990305  0.00603069
     2.39824    0.970376  0.00217033
     2.42389    0.937565  0.00765593
     2.44954    0.927898   0.0026245
     2.47519    0.910312   0.0052942
     2.50084    0.905315  0.00476924
     2.52649     0.89067  0.00159429
     2.55214    0.886349  0.00115696
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 3.40415e-05 2.94808e-05
    0.910562  0.00110963 0.000252523
    0.936212    0.024797  0.00220308
    0.961861    0.174845   0.0034151
    0.987511    0.587049  0.00245128
     1.01316     1.22608  0.00902836
     1.03881      1.8948  0.00539838
     1.06446     2.36596  0.00176448
     1.09011     2.54681   0.0141901
     1.11576     2.53002  0.00347529
     1.14141     2.39592  0.00537376
     1.16706      2.1866  0.00632958
     1.19271     1.97593   0.0110185
     1.21836     1.74436  0.00712235
     1.24401     1.54099   0.0104215
     1.26966     1.38751   0.0148353
     1.29531     1.23494  0.00987132
     1.32096       1.103    0.010882
     1.34661     1.01814  0.00740283
     1.37226    0.943795   0.0110128
     1.39791    0.877675  0.00305844
     1.42355    0.823081  0.00624524
      1.4492    0.778099  0.00638664
     1.47485    0.732722  0.00721377
      1.5005    0.702654  0.00785067
     1.52615    0.692998  0.00694649
      1.5518    0.662063  0.00503735
     1.57745    0.657898  0.00700451
      1.6031    0.667962  0.00354437
     1.62875    0.679351  0.00643733
      1.6544    0.682471  0.00773054
     1.68005    0.710984  0.00472726
      1.7057    0.725149  0.00445122
     1.73135    0.744998  0.00185914
       1.757    0.785223  0.00419743
     1.78265    0.828101  0.00452546
      1.8083    0.869376  0.00357724
     1.83395     0.90926  0.00700015
      1.8596    0.941806  0.00519476
     1.88525    0.980555  0.00373284
      1.9109      1.0242  0.00317577
     1.93655     1.05665  0.00320433
      1.9622     1.10667  0.00512829
     1.98785     1.13573   0.0114277
      2.0135     1.16643  0.00731646
     2.03915     1.19526  0.00731455
      2.0648     1.20101  0.00876812
     2.09045      1.2012  0.00341254
      2.1161     1.21101  0.00996159
     2.14174     1.20135  0.00497488
     2.16739     1.18958  0.00433858
     2.19304     1.16413  0.00106878
     2.21869     1.13756  0.00783521
     2.24434     1.12364  0.00663581
     2.26999     1.10031  0.00411065
     2.29564     1.06232  0.00336365
     2.32129     1.02915 0.000649417
     2.34694     1.01185     0.00213
     2.37259    0.984411  0.00682033
     2.39824    0.967419  0.00303394
     2.42389     0.93902  0.00587848
     2.44954    0.931558  0.00373105
     2.47519     0.91473  0.00551378
     2.50084    0.909534  0.00511362
     2.52649    0.895538  0.00438207
     2.55214    0.889456  0.00282652
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
