#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66887     1.66887           0
           2     1.67269     1.67078  0.00135014
           3     1.66958     1.67038 0.000957005
           4     1.65651     1.66691    0.003087
           5     1.66622     1.66677  0.00247273
           6     1.66084     1.66578  0.00224929
           7     1.67483     1.66708  0.00226899
           8     1.66355     1.66664  0.00202765
           9     1.66043     1.66595  0.00191614
          10      1.6755      1.6669  0.00194842
          11     1.67121     1.66729  0.00181014
          12     1.66723     1.66729   0.0016593
          13     1.67393      1.6678  0.00160836
          14     1.68037      1.6687  0.00172588
          15     1.66521     1.66846  0.00162641
          16     1.66784     1.66842  0.00152522
          17     1.66853     1.66843  0.00143551
          18     1.67949     1.66904  0.00148133
          19     1.65701     1.66841  0.00153285
          20     1.67043     1.66851  0.00145953
          21     1.66934     1.66855  0.00139055
          22     1.65551     1.66796  0.00144811
          23     1.66017     1.66762  0.00142423
          24     1.65219     1.66698  0.00150304
          25     1.66927     1.66707   0.0014457
          26     1.66466     1.66698  0.00139306
          27     1.64879      1.6663  0.00149548
          28     1.66947     1.66642  0.00144634
          29     1.66395     1.66633  0.00139895
          30     1.66605     1.66632  0.00135235
