#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44543    -5.44543           0
           2    -5.44978    -5.44761  0.00153879
           3    -5.44691    -5.44737  0.00104333
           4    -5.43321    -5.44383  0.00316522
           5    -5.44277    -5.44362  0.00253924
           6    -5.43795    -5.44267  0.00228539
           7    -5.45196      -5.444  0.00231201
           8    -5.44085    -5.44361  0.00205626
           9    -5.43634     -5.4428   0.0019799
          10    -5.45235    -5.44376  0.00199913
          11    -5.44828    -5.44417  0.00185921
          12    -5.44358    -5.44412  0.00170492
          13    -5.45011    -5.44458  0.00163496
          14    -5.45737    -5.44549    0.001755
          15    -5.44163    -5.44524  0.00165673
          16    -5.44414    -5.44517   0.0015546
          17    -5.44631    -5.44523  0.00146461
          18    -5.45709    -5.44589  0.00152413
          19      -5.434    -5.44527  0.00156714
          20     -5.4475    -5.44538  0.00149277
          21     -5.4465    -5.44543  0.00142264
          22    -5.43175    -5.44481  0.00148768
          23    -5.43649    -5.44445  0.00146629
          24     -5.4282    -5.44377  0.00155368
          25    -5.44596    -5.44386  0.00149399
          26    -5.44127    -5.44376  0.00143984
          27    -5.42571    -5.44309  0.00153384
          28    -5.44643    -5.44321  0.00148369
          29    -5.44045    -5.44312  0.00143557
          30     -5.4418    -5.44307  0.00138839
