#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.52037     1.52037           0
           2     1.53672     1.52855  0.00578019
           3     1.49635     1.51781  0.00957177
           4     1.54319     1.52416  0.00903953
           5      1.5501     1.52935  0.00859251
           6     1.55048     1.53287  0.00784949
           7     1.45296     1.52145   0.0125289
           8     1.46536     1.51444    0.012775
           9     1.57668     1.52136   0.0130942
          10     1.40404     1.50963   0.0162098
          11     1.49043     1.50788   0.0148298
          12     1.45474     1.50345   0.0142397
          13     1.51408     1.50427   0.0131678
          14     1.47781     1.50238   0.0123621
          15     1.54174       1.505   0.0118132
          16     1.48914     1.50401   0.0111164
          17     1.42928     1.49962   0.0112982
          18     1.43126     1.49582   0.0112906
          19     1.56153     1.49928   0.0112136
          20     1.48094     1.49836   0.0106904
          21     1.54577     1.50062    0.010417
          22     1.55334     1.50301   0.0102154
          23     1.57158       1.506   0.0101969
          24     1.54516     1.50763  0.00990179
          25     1.51186      1.5078  0.00950717
          26     1.50444     1.50767  0.00914238
          27     1.54991     1.50923  0.00893664
          28     1.46653     1.50771  0.00874666
          29     1.57176     1.50992  0.00871943
          30     1.52157      1.5103  0.00843744
