#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11258     1.11258           0
           2     1.11512     1.11385 0.000900092
           3     1.11305     1.11359 0.000638003
           4     1.10434     1.11127    0.002058
           5     1.11081     1.11118  0.00164849
           6     1.10723     1.11052  0.00149953
           7     1.11655     1.11138  0.00151266
           8     1.10904     1.11109  0.00135177
           9     1.10695     1.11063  0.00127743
          10       1.117     1.11127  0.00129895
          11     1.11414     1.11153  0.00120676
          12     1.11149     1.11153   0.0011062
          13     1.11595     1.11187  0.00107224
          14     1.12024     1.11246  0.00115058
          15     1.11014     1.11231  0.00108427
          16     1.11189     1.11228  0.00101681
          17     1.11235     1.11229  0.00095701
          18     1.11966      1.1127 0.000987556
          19     1.10467     1.11227   0.0010219
          20     1.11362     1.11234 0.000973018
          21     1.11289     1.11237 0.000927035
          22     1.10368     1.11197 0.000965407
          23     1.10678     1.11175 0.000949484
          24     1.10146     1.11132  0.00100202
          25     1.11284     1.11138   0.0009638
          26     1.10977     1.11132 0.000928704
          27     1.09919     1.11087 0.000996987
          28     1.11298     1.11094 0.000964225
          29      1.1093     1.11089 0.000932635
          30      1.1107     1.11088 0.000901568
