#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77656    -3.77656           0
           2     -3.7771    -3.77683 0.000188651
           3    -3.77733      -3.777 0.000184479
           4     -3.7767    -3.77692 0.000152687
           5    -3.77656    -3.77685 0.000138296
           6     -3.7771    -3.77689 0.000121481
           7    -3.77713    -3.77692 0.000108845
           8     -3.7773    -3.77697 0.000104773
           9    -3.77592    -3.77685 0.000144577
          10    -3.77685    -3.77685 0.000130121
          11    -3.77707    -3.77687 0.000119822
          12    -3.77635    -3.77683 0.000117459
          13    -3.77619    -3.77678 0.000118416
          14    -3.77701     -3.7768 0.000111038
          15    -3.77643    -3.77677 0.000106335
          16     -3.7763    -3.77674 0.000103725
          17    -3.77778     -3.7768 0.000114288
          18     -3.7776    -3.77685 0.000116236
          19    -3.77699    -3.77686  0.00011037
          20    -3.77707    -3.77687 0.000105391
          21    -3.77716    -3.77688 0.000101325
          22    -3.77624    -3.77685 0.000100857
          23    -3.77633    -3.77683 9.90236e-05
          24    -3.77601    -3.77679 0.000100594
          25    -3.77669    -3.77679 9.66546e-05
          26    -3.77661    -3.77678 9.31917e-05
          27    -3.77692    -3.77679 8.98847e-05
          28    -3.77696    -3.77679 8.68879e-05
          29     -3.7765    -3.77678 8.44992e-05
          30    -3.77575    -3.77675 8.84267e-05
