#Mu Sigma
1 0.5
1.04263 0.49532
0.997512 0.486598
1.02822 0.481957
0.996574 0.486917
1.03384 0.484727
1.02771 0.474806
1.02771 0.474806
1.03346 0.477269
1.04421 0.475966
1.09388 0.479527
1.1349 0.480206
1.13448 0.475096
1.08574 0.470804
1.0962 0.472242
1.11515 0.477898
1.06723 0.483601
1.06902 0.488262
1.04675 0.480682
1.07235 0.471311
1.05887 0.478422
1.02207 0.482667
1.06449 0.473761
1.01496 0.465474
0.985286 0.470243
0.951655 0.471601
0.990696 0.463096
1.01617 0.463655
1.0085 0.461249
0.990506 0.469482
1.02274 0.475762
1.0382 0.468751
1.04107 0.463274
1.05137 0.457942
1.08068 0.464183
1.03831 0.456583
1.03693 0.455841
1.00315 0.456084
0.956862 0.464361
0.932454 0.474006
0.920462 0.47167
0.886049 0.466927
0.849634 0.473998
0.849698 0.473323
0.841235 0.473487
0.798466 0.469823
0.82862 0.466666
0.831213 0.472314
0.818965 0.464234
0.866355 0.456393
0.854545 0.456089
0.854545 0.456089
0.878901 0.451211
0.831707 0.44521
0.822491 0.440402
0.813567 0.438285
0.79307 0.446217
0.795369 0.446098
0.805851 0.451735
0.812968 0.44688
0.839741 0.437432
0.839741 0.437432
0.803516 0.438339
0.83844 0.444678
0.802758 0.451485
0.825574 0.455609
0.871606 0.453517
0.902839 0.451405
0.894064 0.456802
0.89383 0.464388
0.858879 0.473942
0.898952 0.479635
0.918541 0.473272
0.934409 0.478944
0.91928 0.476516
0.938921 0.480067
0.945978 0.472591
0.905107 0.466044
0.939605 0.473898
0.950632 0.475417
0.931069 0.484718
0.901155 0.477368
0.912499 0.483766
0.944494 0.484941
0.980063 0.490482
0.980063 0.490482
0.980063 0.490482
0.986879 0.493882
0.958726 0.501564
0.9259 0.49983
0.90225 0.508889
0.876271 0.504689
0.876271 0.504689
0.901854 0.511244
0.865606 0.506879
0.879923 0.509493
0.912406 0.518504
0.939383 0.522816
0.955701 0.528154
0.955701 0.528154
0.982896 0.52459
0.982896 0.52459
0.982896 0.52459
0.982896 0.52459
0.954215 0.526905
0.918228 0.517024
0.958199 0.525548
0.958199 0.525548
0.978259 0.533207
0.978259 0.533207
0.936734 0.536279
0.93934 0.54283
0.919035 0.533871
0.884036 0.536203
0.846017 0.526867
0.846017 0.526867
0.846017 0.526867
0.846017 0.526867
0.846017 0.526867
0.846017 0.526867
0.83007 0.52255
0.83007 0.52255
0.781908 0.531183
0.781908 0.531183
0.781908 0.531183
0.781908 0.531183
0.818476 0.536027
0.818476 0.536027
0.787095 0.541882
0.766643 0.541645
0.753438 0.54854
0.730676 0.553015
0.730676 0.553015
0.730676 0.553015
0.752708 0.544518
0.752708 0.544518
0.752708 0.544518
0.752708 0.544518
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.802197 0.548172
0.796055 0.554678
0.796055 0.554678
0.796055 0.554678
0.796055 0.554678
0.785864 0.562695
0.785864 0.562695
0.785864 0.562695
0.782291 0.568945
0.782291 0.568945
0.795197 0.568611
0.795197 0.568611
0.795197 0.568611
0.76827 0.575458
0.779991 0.577095
0.772673 0.574242
0.821257 0.571135
0.821257 0.571135
0.782432 0.569487
0.782432 0.569487
0.797572 0.57845
0.797572 0.57845
0.797572 0.57845
0.818202 0.580467
0.818202 0.580467
0.818202 0.580467
0.775715 0.586139
0.775715 0.586139
0.775715 0.586139
0.769668 0.591178
0.769668 0.591178
0.816162 0.586725
0.816162 0.586725
0.816162 0.586725
0.816162 0.586725
0.806779 0.58793
0.806779 0.58793
0.806779 0.58793
0.806779 0.58793
0.790361 0.592794
0.790361 0.592794
0.790361 0.592794
0.790361 0.592794
0.810571 0.598236
0.799646 0.59908
0.799646 0.59908
0.799646 0.59908
0.799646 0.59908
0.799646 0.59908
0.799646 0.59908
0.799646 0.59908
0.82039 0.600946
0.82039 0.600946
0.82039 0.600946
0.784362 0.609102
0.784362 0.609102
0.784362 0.609102
0.784362 0.609102
0.784362 0.609102
0.784362 0.609102
0.784362 0.609102
0.784197 0.60678
0.784197 0.60678
0.784197 0.60678
0.813453 0.61276
0.797467 0.605601
0.797467 0.605601
0.813359 0.612469
0.807412 0.619049
0.807412 0.619049
0.807412 0.619049
0.812199 0.615245
0.812199 0.615245
0.812199 0.615245
0.812199 0.615245
0.812199 0.615245
0.784966 0.606905
0.784966 0.606905
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.792527 0.607371
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.799153 0.617118
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.791824 0.622067
0.798344 0.614895
0.811517 0.61237
0.8212 0.607048
0.785694 0.603805
0.785694 0.603805
0.785694 0.603805
0.776215 0.603027
0.776215 0.603027
0.782802 0.600775
0.805614 0.601211
0.775225 0.604334
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.808959 0.606578
0.80107 0.606337
0.80107 0.606337
0.80107 0.606337
0.80107 0.606337
0.812435 0.616161
0.812435 0.616161
0.812435 0.616161
0.812435 0.616161
0.811491 0.613297
0.811491 0.613297
0.813559 0.610996
0.813559 0.610996
0.813559 0.610996
0.813559 0.610996
0.820948 0.612094
0.794484 0.614798
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.811411 0.608052
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.813063 0.614279
0.832096 0.614612
0.826039 0.604944
0.816493 0.59855
0.816493 0.59855
0.816493 0.59855
0.816493 0.59855
0.782155 0.608197
0.782155 0.608197
0.782155 0.608197
0.782155 0.608197
0.782155 0.608197
0.782155 0.608197
0.782261 0.60085
0.782261 0.60085
0.782261 0.60085
0.78049 0.6086
0.782088 0.615933
0.804973 0.625049
0.804973 0.625049
0.804973 0.625049
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.793566 0.621188
0.804267 0.615501
0.804267 0.615501
0.804267 0.615501
0.804267 0.615501
0.819373 0.613053
0.819373 0.613053
0.801662 0.616221
0.801662 0.616221
0.801662 0.616221
0.801662 0.616221
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
0.798448 0.62439
