#step T mu sigma energy err_energy
0 5 1.04263 0.49532 -0.0778967 0.00157934
1 4.75 0.997512 0.486598 -0.107157 0.00173062
2 4.5125 1.02822 0.481957 -0.0583079 0.00181462
3 4.28688 0.996574 0.486917 -0.111475 0.00173048
4 4.07253 1.03384 0.484727 -0.0571904 0.00175972
5 3.8689 1.02771 0.474806 -0.0347141 0.00187247
6 3.67546 1.02771 0.474806 -0.0324478 0.0018431
7 3.49169 1.03346 0.477269 -0.032245 0.00181695
8 3.3171 1.04421 0.475966 -0.0189498 0.00194089
9 3.15125 1.09388 0.479527 0.0517286 0.00185643
10 2.99368 1.1349 0.480206 0.127355 0.00202898
11 2.844 1.13448 0.475096 0.13518 0.0019974
12 2.7018 1.08574 0.470804 0.0567231 0.00209858
13 2.56671 1.0962 0.472242 0.0730749 0.0018988
14 2.43837 1.11515 0.477898 0.091143 0.00190657
15 2.31646 1.06723 0.483601 -0.00720082 0.00183328
16 2.20063 1.06902 0.488262 -0.0158372 0.00174981
17 2.0906 1.04675 0.480682 -0.0297382 0.00186073
18 1.98607 1.07235 0.471311 0.0362979 0.00200101
19 1.88677 1.05887 0.478422 -0.00449556 0.0018352
20 1.79243 1.02207 0.482667 -0.0642426 0.00172143
21 1.70281 1.06449 0.473761 0.0219095 0.00189445
22 1.61767 1.01496 0.465474 -0.0123927 0.00194579
23 1.53678 0.985286 0.470243 -0.0616402 0.00199617
24 1.45995 0.951655 0.471601 -0.0968206 0.00197236
25 1.38695 0.990696 0.463096 -0.0261701 0.00216015
26 1.3176 1.01617 0.463655 -0.00338435 0.00208904
27 1.25172 1.0085 0.461249 -0.00143852 0.00210595
28 1.18913 0.990506 0.469482 -0.0544426 0.00205246
29 1.12968 1.02274 0.475762 -0.0432324 0.00194304
30 1.07319 1.0382 0.468751 0.00298158 0.00196198
31 1.01953 1.04107 0.463274 0.0224134 0.00206206
32 0.968557 1.05137 0.457942 0.0541424 0.00210085
33 0.92013 1.08068 0.464183 0.0733424 0.00205761
34 0.874123 1.03831 0.456583 0.0470581 0.00224384
35 0.830417 1.03693 0.455841 0.05075 0.00219569
36 0.788896 1.00315 0.456084 0.0146477 0.00232974
37 0.749451 0.956862 0.464361 -0.0586602 0.00220291
38 0.711979 0.932454 0.474006 -0.122085 0.00197731
39 0.67638 0.920462 0.47167 -0.120248 0.0020621
40 0.642561 0.886049 0.466927 -0.116061 0.00214207
41 0.610433 0.849634 0.473998 -0.175254 0.00214274
42 0.579911 0.849698 0.473323 -0.170272 0.00221175
43 0.550916 0.841235 0.473487 -0.173955 0.00260758
44 0.52337 0.798466 0.469823 -0.179972 0.00272171
45 0.497201 0.82862 0.466666 -0.149061 0.00284304
46 0.472341 0.831213 0.472314 -0.17898 0.00280948
47 0.448724 0.818965 0.464234 -0.142508 0.00290564
48 0.426288 0.866355 0.456393 -0.0793043 0.00243399
49 0.404974 0.854545 0.456089 -0.0847944 0.00245386
50 0.384725 0.854545 0.456089 -0.0778334 0.00263522
51 0.365489 0.878901 0.451211 -0.0402541 0.00247158
52 0.347214 0.831707 0.44521 -0.0334691 0.00282921
53 0.329853 0.822491 0.440402 -0.00282835 0.00293002
54 0.313361 0.813567 0.438285 0.000228464 0.00302458
55 0.297693 0.79307 0.446217 -0.0530843 0.00282074
56 0.282808 0.795369 0.446098 -0.0476161 0.00312994
57 0.268668 0.805851 0.451735 -0.0786441 0.00300103
58 0.255234 0.812968 0.44688 -0.0486943 0.00299038
59 0.242473 0.839741 0.437432 0.0142387 0.00285587
60 0.230349 0.839741 0.437432 0.018127 0.00293284
61 0.218832 0.803516 0.438339 0.00156211 0.00296472
62 0.20789 0.83844 0.444678 -0.0234866 0.0026492
63 0.197495 0.802758 0.451485 -0.0798522 0.00310796
64 0.187621 0.825574 0.455609 -0.0902851 0.00299617
65 0.17824 0.871606 0.453517 -0.0602651 0.00257474
66 0.169328 0.902839 0.451405 -0.0300059 0.00253849
67 0.160861 0.894064 0.456802 -0.069285 0.00243442
68 0.152818 0.89383 0.464388 -0.104846 0.00220128
69 0.145177 0.858879 0.473942 -0.168321 0.00227784
70 0.137918 0.898952 0.479635 -0.167655 0.0020448
71 0.131023 0.918541 0.473272 -0.129887 0.00203565
72 0.124471 0.934409 0.478944 -0.142775 0.0018453
73 0.118248 0.91928 0.476516 -0.138251 0.00188265
74 0.112335 0.938921 0.480067 -0.143475 0.00189806
75 0.106719 0.945978 0.472591 -0.102654 0.00188093
76 0.101383 0.905107 0.466044 -0.105488 0.00222856
77 0.0963136 0.939605 0.473898 -0.11391 0.00198935
78 0.0914979 0.950632 0.475417 -0.112954 0.00198683
79 0.086923 0.931069 0.484718 -0.16188 0.00179947
80 0.0825769 0.901155 0.477368 -0.157813 0.00199723
81 0.078448 0.912499 0.483766 -0.170937 0.00184535
82 0.0745256 0.944494 0.484941 -0.152622 0.00180638
83 0.0707993 0.980063 0.490482 -0.140036 0.00164647
84 0.0672594 0.980063 0.490482 -0.140741 0.00164388
85 0.0638964 0.980063 0.490482 -0.138433 0.0017145
86 0.0607016 0.986879 0.493882 -0.141911 0.00165517
87 0.0576665 0.958726 0.501564 -0.195226 0.00151815
88 0.0547832 0.9259 0.49983 -0.220712 0.00159625
89 0.052044 0.90225 0.508889 -0.269433 0.00166185
90 0.0494418 0.876271 0.504689 -0.273611 0.00189132
91 0.0469697 0.876271 0.504689 -0.273889 0.00200352
92 0.0446212 0.901854 0.511244 -0.273624 0.00165131
93 0.0423902 0.865606 0.506879 -0.284481 0.0019339
94 0.0402707 0.879923 0.509493 -0.287121 0.00188751
95 0.0382571 0.912406 0.518504 -0.283667 0.00158633
96 0.0363443 0.939383 0.522816 -0.270004 0.00157643
97 0.0345271 0.955701 0.528154 -0.268129 0.00129434
98 0.0328007 0.955701 0.528154 -0.269063 0.00135236
99 0.0311607 0.982896 0.52459 -0.228781 0.00128699
100 0.0296026 0.982896 0.52459 -0.227363 0.00122475
101 0.0281225 0.982896 0.52459 -0.225862 0.00126937
102 0.0267164 0.982896 0.52459 -0.228044 0.00127867
103 0.0253806 0.954215 0.526905 -0.266156 0.00129737
104 0.0241115 0.918228 0.517024 -0.276685 0.00164204
105 0.022906 0.958199 0.525548 -0.258712 0.00151167
106 0.0217607 0.958199 0.525548 -0.259752 0.00128912
107 0.0206726 0.978259 0.533207 -0.250583 0.001196
108 0.019639 0.978259 0.533207 -0.249253 0.00125896
109 0.0186571 0.936734 0.536279 -0.306332 0.00139166
110 0.0177242 0.93934 0.54283 -0.317368 0.00134278
111 0.016838 0.919035 0.533871 -0.318405 0.00142164
112 0.0159961 0.884036 0.536203 -0.349983 0.00143766
113 0.0151963 0.846017 0.526867 -0.35001 0.00160094
114 0.0144365 0.846017 0.526867 -0.35182 0.00160962
115 0.0137146 0.846017 0.526867 -0.347899 0.00156273
116 0.0130289 0.846017 0.526867 -0.348699 0.00161615
117 0.0123775 0.846017 0.526867 -0.34902 0.00150092
118 0.0117586 0.846017 0.526867 -0.349724 0.00161855
119 0.0111707 0.83007 0.52255 -0.343695 0.00163253
120 0.0106121 0.83007 0.52255 -0.346747 0.00168395
121 0.0100815 0.781908 0.531183 -0.373529 0.00156676
122 0.00957745 0.781908 0.531183 -0.370303 0.00154284
123 0.00909858 0.781908 0.531183 -0.372848 0.00154981
124 0.00864365 0.781908 0.531183 -0.374299 0.00150829
125 0.00821147 0.818476 0.536027 -0.377745 0.00141
126 0.00780089 0.818476 0.536027 -0.376184 0.00146998
127 0.00741085 0.787095 0.541882 -0.391577 0.00132262
128 0.00704031 0.766643 0.541645 -0.389406 0.00132307
129 0.00668829 0.753438 0.54854 -0.396262 0.00123313
130 0.00635388 0.730676 0.553015 -0.395129 0.00117896
131 0.00603618 0.730676 0.553015 -0.396065 0.00118048
132 0.00573437 0.730676 0.553015 -0.395512 0.00111144
133 0.00544765 0.752708 0.544518 -0.390067 0.00131525
134 0.00517527 0.752708 0.544518 -0.392806 0.00125638
135 0.00491651 0.752708 0.544518 -0.391318 0.00123185
136 0.00467068 0.752708 0.544518 -0.390105 0.00127724
137 0.00443715 0.802197 0.548172 -0.401442 0.00129349
138 0.00421529 0.802197 0.548172 -0.402423 0.00124677
139 0.00400453 0.802197 0.548172 -0.399862 0.00127602
140 0.0038043 0.802197 0.548172 -0.401373 0.00121482
141 0.00361408 0.802197 0.548172 -0.399158 0.00125131
142 0.00343338 0.802197 0.548172 -0.401855 0.00125368
